model_name,task_id,AP_0.5:0.95,AP_0.5,AP_0.75,AP_0-12,AP_12-20,AP_20-32,AP_small,AP_medium,AP_large
YOLOftS_dcn_dy_s1_t_1688_f32_2core.bmodel_bmcv_python_result,4,8.9,14.7,9.2,4.6,27.3,62.2,14.7,17.7,18.0
YOLOftS_all2_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,9,49.7,83.7,49.9,41.1,73.5,84.7,54.2,54.7,54.8
YOLOftS_dcn_dy_s1_t_1688_f32_2core.bmodel_bmcv_python_result,5,12.9,25.6,12.5,10.8,10.5,50.7,21.9,25.4,25.7
yolov8s_2_1688_f16_2core.bmodel_bmcv_python_result,1,37.9,71.7,36.6,30.1,65.0,53.9,37.0,43.3,43.4
yolov8s_2_1688_f16_2core.bmodel_bmcv_python_result,6,29.0,57.6,25.4,22.9,73.0,53.1,33.1,33.8,33.9
YOLOftS_all2_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,1,51.1,81.2,54.1,39.5,78.1,88.4,46.4,55.9,55.9
yolov8m_4_1688_f16_2core.bmodel_bmcv_python_result,1,44.3,75.4,44.1,32.6,78.5,76.7,42.3,49.0,49.0
yolov8s_2_1688_f16_2core.bmodel_bmcv_python_result,4,21.9,47.5,17.7,16.1,65.3,48.9,25.3,26.3,26.4
YOLOftS_dcn_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,5,30.2,53.1,31.1,18.5,69.5,75.5,33.9,35.1,35.2
yolofts_all_dcnv3_dy_max_1688_f16_2core.bmodel_bmcv_python_result,1,52.7,83.1,55.4,40.6,82.0,89.3,48.5,56.6,56.6
yolov8m_4_1688_f16_2core.bmodel_bmcv_python_result,9,36.6,68.2,33.9,28.6,67.1,61.1,41.3,42.5,42.8
yolov8m_4_1688_f16_2core.bmodel_bmcv_python_result,6,34.8,64.9,32.1,27.6,79.7,80.1,38.5,39.2,39.2
yolov8s_2_1688_f16_2core.bmodel_bmcv_python_result,5,22.6,44.1,23.4,14.8,59.4,38.5,26.4,28.7,29.3
yolofts_all_dcnv3_dy_max_1688_f16_2core.bmodel_bmcv_python_result,4,35.1,69.4,30.7,27.2,78.6,87.7,39.3,40.5,40.5
YOLOftS_dcn_dy_s1_t_1688_f32_2core.bmodel_bmcv_python_result,9,19.4,32.2,19.8,11.1,38.6,68.0,29.9,33.0,33.3
yolov8s_2_1688_f32_2core.bmodel_bmcv_python_result,1,38.0,71.7,36.9,30.2,65.2,54.0,37.1,43.4,43.5
yolofts_all_dcnv3_dy_max_1688_f16_2core.bmodel_bmcv_python_result,9,49.7,85.1,48.7,41.2,72.8,82.8,54.3,55.1,55.2
YOLOftS_all2_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,6,41.5,76.1,37.8,34.7,79.9,88.6,46.4,46.9,46.9
yolov8s_2_1688_f16_2core.bmodel_bmcv_python_result,9,31.0,62.1,28.0,25.3,64.0,34.2,36.8,37.8,38.0
YOLOftS_dcn_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,9,41.6,68.2,42.5,31.7,70.1,83.9,44.9,46.7,46.8
YOLOftS_all2_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,5,33.9,62.9,33.5,22.7,70.6,77.4,38.7,39.6,39.7
yolofts_all_dcnv3_dy_max_1688_f16_2core.bmodel_bmcv_python_result,6,42.1,76.3,39.1,34.8,82.1,89.1,47.0,47.5,47.5
YOLOftS_all2_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,4,28.6,58.7,24.6,20.4,75.1,83.3,34.0,34.8,34.8
yolov8m_4_1688_f16_2core.bmodel_bmcv_python_result,5,29.9,55.0,31.4,20.0,67.0,67.0,34.2,36.5,36.7
YOLOftS_dcn_dy_s1_t_1688_f32_2core.bmodel_bmcv_python_result,1,18.0,29.5,19.0,12.7,13.2,70.3,23.7,31.3,31.7
YOLOftS_dcn_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,6,35.9,64.2,33.9,28.0,81.0,88.3,39.7,41.0,41.0
YOLOftS_dcn_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,4,27.0,50.3,25.3,18.7,75.7,86.0,30.1,31.2,31.2
yolofts_all_dcnv3_dy_max_1688_f16_2core.bmodel_bmcv_python_result,5,34.0,61.9,32.6,23.1,70.8,76.2,38.2,38.9,38.9
YOLOftS_dcn_dy_s1_t_1688_f32_2core.bmodel_bmcv_python_result,6,15.2,26.4,15.5,11.3,36.4,61.3,24.1,26.1,26.1
YOLOftS_dcn_dy_s1_t_1688_f16_2core.bmodel_bmcv_python_result,1,48.4,76.2,50.5,35.6,80.1,88.9,44.7,52.1,52.1
yolov8m_4_1688_f16_2core.bmodel_bmcv_python_result,4,27.5,53.3,25.4,20.4,73.7,73.4,30.5,31.6,31.6
